Laplacian Mean,Laplacian Standard Deviation,Canny Mean,Canny Standard Deviation,Hue Mean,Blue Mean,Green Mean,Red Mean,Shannons Entropy,Class
78.122222,117.5449404,35.62227344,88.40098055,34.19594891,68.9218,73.40302936,68.12977681,5.036362869,0
80.33258653,118.4462103,34.79234773,87.53023027,38.4965708,61.52352916,65.55749997,60.06863949,5.026911977,0
79.01241862,117.9139251,34.16623966,86.86230011,37.24736586,58.90535646,63.26271696,57.53481622,4.921007505,0
80.96413119,118.6957083,33.06648649,85.66540449,37.71629203,59.29781547,63.81860967,58.07662123,4.986460206,0
80.05828646,118.3360087,32.61660986,85.16684963,35.85963689,58.16917552,62.89531735,57.09235193,4.940741149,0
77.61932453,117.3333713,33.338777,85.96460948,33.66337358,68.15465558,72.86566606,67.35174087,4.916939314,0
80.34602128,118.4511458,32.4136543,84.94019579,35.46242323,57.9908133,62.67767957,56.92052597,4.948009801,0
80.90461368,118.6739849,32.28286618,84.7935577,35.05212738,57.65500065,62.51000652,56.72286452,4.95262246,0
80.66256415,118.5783008,32.46845723,85.00150515,35.75026478,58.98082441,63.57216721,57.70901009,4.983310001,0
80.73637557,118.6100475,32.33729965,84.85464314,35.25253103,58.49084058,63.17606434,57.30695291,4.976420199,0
81.61200975,118.9486644,32.90589544,85.48804233,35.46371368,59.49363301,64.09319806,58.27642023,5.030733009,0
80.91117072,118.6769906,33.18311205,85.79379143,35.41762416,58.30508051,62.96222208,57.17302175,4.973598582,0
84.18162891,119.9078575,33.2063879,85.81937263,37.2606166,61.78714924,66.38215764,60.68925254,5.130524548,0
82.75363771,119.3851577,32.9996146,85.5916302,36.39125887,59.46151818,64.22469177,58.41262754,5.041767008,0
82.75736175,119.3844657,34.91833289,87.66347538,37.52461725,61.20718719,65.62313647,59.78982286,5.094068464,0
83.74782925,119.752201,35.08557419,87.83976265,37.84579115,61.06492173,65.60140751,59.76674309,5.11622144,0
77.34138687,117.2140944,33.1827426,85.79338527,32.70564585,67.50031899,72.51990026,66.77579746,4.856555225,0
83.87391487,119.7988596,34.62313599,87.35066188,37.9005849,60.79244094,65.37554024,59.4209034,5.120753245,0
84.97391675,120.1930888,34.2982593,87.00393974,38.626535,61.30922133,66.04516273,60.15016655,5.165776928,0
84.27287198,119.9407033,34.40503265,87.11817866,38.93218249,62.20137197,66.6599765,60.79981175,5.175410182,0
84.03023663,119.8550846,34.21266821,86.91216098,39.13456866,62.04711724,66.43040402,60.69338999,5.153652293,0
82.67637029,119.354793,32.89936835,85.48081943,38.98350624,61.31920153,65.48653072,59.77095539,5.0924471,0
81.54539721,118.9255197,33.87547625,86.54882179,39.06531582,62.12426296,66.19979465,60.47246186,5.10560365,0
85.55155725,120.3950006,36.00096783,88.79288886,41.59767092,67.92020481,71.80761286,66.29076147,5.376261401,0
83.41425509,119.6280155,36.14173131,88.93771271,40.08114262,65.86112245,69.54551553,64.0369033,5.226248586,0
82.26998586,119.2006257,37.34210019,90.15432936,40.49713248,66.48516397,69.89061533,64.37558854,5.206317626,0
81.29517807,118.8255645,37.84407039,90.65353984,40.43196975,65.80799729,69.15308357,63.66159487,5.149783856,0
74.74339334,116.0675786,32.55848181,85.10204536,32.40900058,65.43322639,70.12356219,64.3330405,4.725494771,0
82.8598122,119.4246599,38.29283865,91.09518299,41.41035042,67.37957385,70.62253809,65.26857854,5.24778267,0
80.07628606,118.3464226,36.57362766,89.37921913,38.78679862,63.34704079,66.88177201,61.47458202,5.075832974,0
81.49759224,118.9057889,36.88902159,89.69894421,39.32152935,64.96572734,68.31751168,63.14040803,5.137770381,0
79.47944341,118.1053818,35.85466249,88.64187561,36.78114374,62.39726147,65.99143872,60.92541537,5.002282966,0
82.49208225,119.2846564,36.22338152,89.02150818,38.66026482,65.62551935,69.00391432,64.19871525,5.140069714,0
80.9353352,118.686908,35.78187927,88.5665644,36.63611241,62.99866416,66.76528892,61.83273311,5.034582228,0
82.68141665,119.3564016,35.75884973,88.54270916,37.6342999,63.56301576,67.24471736,62.25614592,5.100072198,0
83.28383257,119.5814547,36.32682975,89.12745383,37.950723,63.50490703,67.36025144,62.18348537,5.142102642,0
82.34027705,119.2280609,36.46648485,89.27009085,37.97860718,63.15423734,66.80993248,61.46966943,5.114133676,0
80.9699522,118.6995265,36.38200213,89.18385765,38.02784892,62.04522648,65.84218881,60.26566635,5.061715456,0
72.44862868,114.9981165,32.24628985,84.75246723,31.44942121,63.12322799,67.72221543,61.88892549,4.588694828,0
83.8072067,119.7718061,37.49468633,90.30666371,39.25497042,63.28203116,67.119205,61.34317766,5.180384936,0
82.81345658,119.4067952,37.39641051,90.20860913,39.37537121,61.87786445,65.88076699,59.86541202,5.131039756,0
85.10084029,120.2370145,37.5610656,90.37277289,40.52793126,62.50375278,66.66585064,60.42051994,5.206356154,0
86.98942239,120.887207,38.05158261,90.85829971,41.16645457,62.45805638,67.0352289,60.52636167,5.25534256,0
88.50867647,121.3854361,38.50490751,91.30237408,41.64754533,63.17935759,67.88514977,61.11958074,5.318233515,0
87.27469174,120.9829125,37.32535143,90.13757682,40.79496726,61.30517758,66.27596577,59.28793234,5.243995603,0
77.99566648,117.4922551,35.71845566,88.50083682,34.76179911,69.5520943,73.85486967,68.59710586,5.050346042,0
89.42271205,121.6752738,37.35860265,90.17082945,41.53920528,62.65266558,67.70236806,60.63389663,5.349081136,0
90.17201624,121.9066426,36.90244523,89.71250231,41.25639126,61.78456352,67.12348395,59.899803,5.339426748,0
91.70141423,122.364828,37.15010521,89.96191701,42.26170035,63.2971968,68.51862527,61.41811387,5.425857126,0
90.79051106,122.0961765,35.30884994,88.07407025,40.87959245,60.67480022,66.3230294,59.17757839,5.311454425,0
73.4036543,115.4486967,33.26229921,85.88076472,32.20116188,64.61337554,69.06809521,63.2569539,4.651968752,0
91.9263977,122.4311615,34.39123955,87.10343694,40.93326913,60.509412,66.16112327,59.24400742,5.335709748,0
92.13580936,122.4918264,34.39518043,87.10764934,39.97203083,60.23227411,66.15615901,59.22686022,5.332887923,0
93.74254335,122.9438944,35.69247045,88.47388042,41.4227164,62.87191931,68.34594304,61.68761678,5.439840652,0
93.4941686,122.8761322,35.98446538,88.7758803,41.14389687,63.09531146,68.76252161,61.92758286,5.448676815,0
93.04118369,122.7493869,35.66870199,88.44920975,41.12442909,62.96056845,68.52269703,61.74989677,5.434953255,0
