Laplacian Mean,Laplacian Standard Deviation,Canny Mean,Canny Standard Deviation,Hue Mean,Blue Mean,Green Mean,Red Mean,Shannons Entropy,Class
61.83820925,109.2869428,0.726933375,13.59557201,45.29715443,31.4947036,26.91722617,14.14574366,3.812722546,0
54.22575945,104.330315,3.183451756,28.31335078,34.93895926,31.80831703,31.79768819,21.58621323,3.439482867,0
54.44232657,104.4854697,3.451292349,29.46469294,34.51306422,32.15256925,32.29144098,22.20661792,3.442526087,0
59.28762057,107.6976487,3.176449387,28.28258763,35.76700992,33.26847733,33.19688154,22.88861085,3.495360928,0
55.5215134,105.2298091,3.035089074,27.65385955,35.22978409,33.23650671,33.03070573,22.53081214,3.432917806,0
60.63747125,108.557442,0.933065596,15.39678913,43.76065973,36.89844849,32.38364741,16.02509354,3.953884224,0
57.43261937,106.5103085,2.963314798,27.32881334,36.44065664,34.88721725,34.52913878,23.38506848,3.494973937,0
56.35805444,105.7967298,2.940119452,27.22289768,36.03130642,35.05681358,34.58059589,23.39591872,3.455349018,0
55.12627433,104.9600676,2.923051179,27.14468313,35.34094498,35.13521436,34.63631792,23.48432877,3.39986777,0
55.00011671,104.8706062,2.968128926,27.35074198,35.1859678,35.54499365,34.84931006,23.73760341,3.387692697,0
55.32236124,105.0930797,3.262666049,28.65894019,34.31994989,34.17311296,33.4166701,22.7003484,3.321930615,0
54.33215083,104.4015054,3.14931521,28.16304657,32.23396835,32.26311399,31.38243401,21.24832321,3.152040229,0
49.06528679,100.5068609,3.140999897,28.12630607,29.39215151,29.42780181,28.41397041,18.7152456,2.885632427,0
34.44524251,87.15231036,2.779502626,26.47730226,20.69673223,20.70527752,19.36127244,11.85544057,2.053624693,0
30.89270415,83.20247692,2.168108331,23.41296501,19.4598754,19.31877596,17.80994748,10.22986647,1.867877022,0
33.92718395,86.59834521,2.360235815,24.41903806,21.1740552,20.78023204,19.17175025,10.98756393,2.001934557,0
60.51767926,108.4839586,0.993461024,15.88538939,43.41207394,36.62379089,32.3035664,15.90857447,3.947670968,0
41.91911406,94.4907863,2.778189682,26.47111692,23.6416332,22.44026705,20.85865513,12.23476985,2.181595882,0
47.07350599,98.91153811,2.877535784,26.9349478,25.70085127,23.98955995,22.35061271,13.21339718,2.34255048,0
43.80638966,96.1802445,2.653022346,25.87435353,27.81115917,27.03219545,25.48257474,15.41064429,2.507104112,0
45.4738767,97.59536764,2.478400783,25.01698881,27.12070161,25.78986201,24.20353036,14.5190231,2.456049623,0
42.53260392,95.05393533,2.607506951,25.65375567,26.74977002,25.37452545,23.83227783,14.10458243,2.441982005,0
45.60367281,97.70325023,2.584749253,25.54271189,27.44196787,25.649008,24.05596574,14.36455394,2.507667719,0
47.10692342,98.95252683,3.02721141,27.61837976,29.50066763,28.34216524,26.68756565,16.09609206,2.732118835,0
48.50880273,100.0720565,3.281484914,28.74039857,30.22344077,29.05283699,27.64435177,16.78223149,2.831054621,0
49.3202571,100.7065635,3.131809288,28.08563938,30.78729448,29.61867985,28.15842172,17.09071671,2.880147262,0
54.19152851,104.3001165,3.632040984,30.21553788,32.38190712,30.78039508,29.23926475,17.73949301,3.025810381,0
59.69303196,107.9723439,0.961512718,15.62885908,42.91130333,36.41118319,32.23107988,15.80227405,3.919208194,0
66.6027323,112.0069338,4.044743075,31.85984208,42.56529537,44.07442763,42.73320805,29.32027769,3.94586389,0
58.40981018,107.1431475,3.888502729,31.24816382,35.99294958,34.77482923,33.21803282,20.88557821,3.364814919,0
64.23552157,110.6848916,3.669241067,30.36763313,40.09791817,39.45614595,37.9080922,24.74818076,3.720346811,0
66.35847149,111.8760424,3.809726084,30.9348693,42.01391034,41.36344352,39.66659802,25.91820273,3.868575389,0
73.0527323,115.281795,3.913886314,31.34840513,47.72515875,47.8311039,46.0932259,31.2093159,4.336163438,0
71.6111626,114.5865117,3.525692514,29.77618315,45.32484811,45.11695672,43.30891086,28.87787732,4.147515723,0
71.05702125,114.3176722,3.465297086,29.5235918,46.3784128,46.74448563,44.79799368,30.13785398,4.234459475,0
68.16683486,112.8473463,3.474487694,29.5621768,44.85495315,44.53129956,42.6758178,27.91977483,4.116155624,0
67.97293791,112.7437851,3.409278138,29.28724548,44.55687708,43.69145299,41.65526722,26.84869392,4.089966787,0
67.11354306,112.286425,3.376892184,29.14968449,44.20200632,42.51627193,40.49030481,25.52715992,4.059254507,0
59.52076168,107.8624528,0.914684379,15.24492929,42.70199773,36.53586826,32.37282292,15.83724985,3.913790887,0
66.71108365,112.0707932,3.366388631,29.10492276,43.71327704,40.98886314,39.03109189,24.23818007,4.025489499,0
66.3739608,111.8838174,3.301616723,28.82727166,43.32696255,40.52672742,38.41341949,23.59232314,3.981906609,0
59.23216627,107.6722282,2.588250438,25.55982827,37.5071637,34.87339786,32.74017266,19.0585985,3.535012946,0
62.37277829,109.6052457,2.730486047,26.24534983,39.78117942,37.04182371,34.75867058,20.26184567,3.711539203,0
66.27360038,111.8276972,2.779064978,26.47524064,42.37819655,38.89988158,36.75476092,21.44337178,3.908831273,0
67.21184739,112.3342578,2.361111111,24.42352324,42.56492637,38.46246353,36.45425634,21.26642296,3.92076242,0
61.45896406,109.0585581,0.776387602,14.04905907,44.70494113,33.18201352,28.79083514,14.95607044,3.857660713,0
62.22217417,109.513327,2.157604778,23.35666843,40.19442213,34.87840078,32.63953764,18.15021282,3.716116235,0
66.77148938,112.1006194,2.175985995,23.45509569,43.07250712,37.08113823,35.16782858,19.76347269,3.94693735,0
66.58312223,111.9997317,2.297214499,24.09382707,43.79266639,37.84382487,36.00364192,20.16061683,4.004443946,0
66.39907836,111.8976439,2.087581094,22.97771059,44.12688532,37.43000206,35.54849483,19.27232348,3.978525269,0
58.92562043,107.4823124,0.989522191,15.85399018,42.03907939,36.23395119,32.55787252,15.9162908,3.893734835,0
67.11009336,112.2844462,2.053882195,22.79301489,44.43107644,36.25997666,34.66021179,17.98857824,3.943415229,0
67.36532969,112.4239865,1.945345485,22.18735517,44.92119761,36.38589229,34.61731542,17.54922081,3.928643305,0
67.5075962,112.4985828,1.78429101,21.2558348,45.01191947,37.22488072,35.51875193,17.78080356,3.920337152,0
68.77317647,113.1641277,2.034625682,22.68677693,45.89143926,37.76993615,35.88694264,17.57924347,3.952514988,0
70.04988501,113.8188682,2.312969828,24.17555535,47.12906155,38.69841417,36.84532146,17.79131226,4.039280793,0
71.09971682,114.3432582,2.520852641,25.22821289,47.4313991,39.28845982,37.59716816,18.14838328,4.070979469,0
71.47934816,114.5297559,2.523916178,25.24338473,47.62907528,41.38757423,39.64485978,19.54299592,4.103794642,0
71.99796966,114.7804152,2.801822675,26.58222285,47.72428003,41.70822263,40.28802904,19.4101397,4.108757636,0
72.00085985,114.7842627,2.857841623,26.84366508,47.86011911,42.11776336,40.82422339,19.33246147,4.119911288,0
72.56100127,115.050561,2.839022758,26.75613487,48.04997082,42.64208115,41.26029417,19.53139052,4.110769809,0
58.40450005,107.1487416,0.944006796,15.48646455,41.64781862,36.54497477,32.92429719,16.05830845,3.869456419,0
72.8682216,115.1951698,2.772500257,26.44429632,48.09975972,42.8118165,41.47446538,19.77234579,4.092296279,0
71.91380908,114.7399609,2.954124189,27.28689829,48.18244087,43.22611472,41.66950537,19.73249751,4.067857159,0
72.28205471,114.9187739,3.043404387,27.6912587,48.36762091,43.55836852,41.94557032,19.79194041,4.067379236,0
71.88641746,114.7287907,2.983884255,27.42237991,48.43008616,43.78313081,42.04413208,19.80728555,4.053524038,0
70.58323722,114.0887264,2.915611163,27.11051564,47.3959376,42.69823396,41.1210809,19.39626884,3.972247314,0
70.72355748,114.1566119,2.641643497,25.81938828,47.43299523,41.19584149,39.67238355,18.55763739,3.964960646,0
70.27035836,113.9310481,2.403125322,24.63781536,47.01411115,40.52394364,39.17458895,18.461384,3.93219248,0
69.21503106,113.3928098,2.329600453,24.26151432,46.24652628,39.51565407,38.46407854,18.29507603,3.889891147,0
71.53652731,114.5506361,2.180362476,23.47846781,46.58566746,39.60483129,38.4328236,18.20123571,3.895980251,0
